"isEnabled","name","datatype","instanceType","label","uuid:ID","id","isRequired"
"True","AEACNOTH","text","BiomedicalConceptProperty","AEACNOTH","68d109ba-1cb8-46a2-ad38-f285e4784da8","BiomedicalConceptProperty_8","True"
"True","AEREL","text","BiomedicalConceptProperty","AEREL","488d7cc1-990b-4904-8418-c43a754ab89b","BiomedicalConceptProperty_9","True"
"True","AERELNST","text","BiomedicalConceptProperty","AERELNST","26aadabd-3bea-44d5-aa47-26e0da84ede6","BiomedicalConceptProperty_10","True"
"True","AEPATT","text","BiomedicalConceptProperty","AEPATT","40618f59-2edd-4969-9d11-db2167f7103d","BiomedicalConceptProperty_11","True"
"True","AEOUT","text","BiomedicalConceptProperty","AEOUT","ed45f51f-c859-4da3-9c83-77a920807231","BiomedicalConceptProperty_12","True"
"True","AESCAN","text","BiomedicalConceptProperty","AESCAN","f0dde8bf-f2e0-4a25-8265-d1d6f63e7f50","BiomedicalConceptProperty_13","True"
"True","AESCONG","text","BiomedicalConceptProperty","AESCONG","d8be8b11-6378-41cb-a5c5-24f8ece78d16","BiomedicalConceptProperty_14","True"
"True","AESDISAB","text","BiomedicalConceptProperty","AESDISAB","a32ff993-c454-4153-ab1b-b6198b14cea5","BiomedicalConceptProperty_15","True"
"True","AESDTH","text","BiomedicalConceptProperty","AESDTH","7eba933c-5615-4344-b867-49b5aa20f043","BiomedicalConceptProperty_16","True"
"True","AESHOSP","text","BiomedicalConceptProperty","AESHOSP","84865337-862e-4b3d-96bc-4327ef89a67d","BiomedicalConceptProperty_17","True"
"True","AESLIFE","text","BiomedicalConceptProperty","AESLIFE","09c079f3-9973-45db-94c0-617d7e615f0c","BiomedicalConceptProperty_18","True"
"True","AESOD","text","BiomedicalConceptProperty","AESOD","1bda9db6-a2e4-4827-95ea-668bd951b762","BiomedicalConceptProperty_19","True"
"True","AESMIE","text","BiomedicalConceptProperty","AESMIE","ad4bdef3-aec0-42b7-b4e7-69a677c08216","BiomedicalConceptProperty_20","True"
"True","AECONTRT","text","BiomedicalConceptProperty","AECONTRT","6604cfa3-f86f-4c21-be1d-1a7ea578e660","BiomedicalConceptProperty_21","True"
"True","AESTDTC","datetime","BiomedicalConceptProperty","AESTDTC","ac6dc324-5004-424e-9494-2bc42d7ab957","BiomedicalConceptProperty_22","True"
"True","AEENDTC","datetime","BiomedicalConceptProperty","AEENDTC","0cbbce2f-53e1-406a-b6c9-951e38d9feb7","BiomedicalConceptProperty_23","True"
"True","VSTESTCD","","BiomedicalConceptProperty","VSTESTCD","61edb0ab-70b8-4950-b2be-61eedeb0c233","BiomedicalConceptProperty_24","True"
"True","VSORRES","integer","BiomedicalConceptProperty","VSORRES","543c0f0b-605a-459f-ab82-15c168ce5b9f","BiomedicalConceptProperty_25","True"
"True","VSORRESU","","BiomedicalConceptProperty","VSORRESU","69b3ffbe-f56f-490c-b647-2286340cd395","BiomedicalConceptProperty_26","True"
"True","VSPOS","","BiomedicalConceptProperty","VSPOS","e5ec86d0-4580-49d6-9777-56f9e0b6f782","BiomedicalConceptProperty_27","True"
"True","VSLOC","","BiomedicalConceptProperty","VSLOC","9b58bc4b-5e02-4726-94ea-cae767226e4a","BiomedicalConceptProperty_28","True"
"True","VSLAT","","BiomedicalConceptProperty","VSLAT","e57706be-915a-414a-9e09-176d778bce04","BiomedicalConceptProperty_29","True"
"True","VSTESTCD","","BiomedicalConceptProperty","VSTESTCD","de024887-daa1-40ce-bc92-722b94bb124f","BiomedicalConceptProperty_30","True"
