"label","isEnabled","name","isRequired","instanceType","datatype","uuid:ID","id"
"LBTESTCD","True","LBTESTCD","True","BiomedicalConceptProperty","","b0ce423a-8c77-406c-9814-b5c271a6d181","BiomedicalConceptProperty_140"
"LBORRES","True","LBORRES","True","BiomedicalConceptProperty","float","8dd76a62-9cc0-49a0-b168-9dba3d00a3bf","BiomedicalConceptProperty_141"
"LBORRESU","True","LBORRESU","True","BiomedicalConceptProperty","","7fc644c2-2862-4baf-b573-ac8cf3bf3085","BiomedicalConceptProperty_142"
"LBSPEC","True","LBSPEC","True","BiomedicalConceptProperty","","a644e58f-3290-40bb-9e87-3da7e1c85aec","BiomedicalConceptProperty_143"
"LBFAST","True","LBFAST","True","BiomedicalConceptProperty","","ebb87b44-5f9b-49b9-952a-2abe41a6a71f","BiomedicalConceptProperty_144"
"LBTESTCD","True","LBTESTCD","True","BiomedicalConceptProperty","","b9176976-0be1-4e4d-880c-eeb89e3a5b3e","BiomedicalConceptProperty_145"
"LBORRES","True","LBORRES","True","BiomedicalConceptProperty","float","d70a067f-adb1-468b-93d6-86aa9a1f3a6c","BiomedicalConceptProperty_146"
"LBORRESU","True","LBORRESU","True","BiomedicalConceptProperty","","ee04dafe-b9dc-43be-a075-af330559bc57","BiomedicalConceptProperty_147"
"LBSPEC","True","LBSPEC","True","BiomedicalConceptProperty","","4dc6a862-5311-409c-8c37-08a85b6ae326","BiomedicalConceptProperty_148"
"LBFAST","True","LBFAST","True","BiomedicalConceptProperty","","51600658-1943-4fed-9b88-93977b58b322","BiomedicalConceptProperty_149"
"LBTESTCD","True","LBTESTCD","True","BiomedicalConceptProperty","","2f05f055-9000-4769-9f27-375900c4c6eb","BiomedicalConceptProperty_150"
"LBORRES","True","LBORRES","True","BiomedicalConceptProperty","float","eb362746-bd3a-4828-9bb4-ed6151d8fcf2","BiomedicalConceptProperty_151"
"LBORRESU","True","LBORRESU","True","BiomedicalConceptProperty","","2025e0bc-e65d-4838-8b45-9c3a724a6fdf","BiomedicalConceptProperty_152"
"LBSPEC","True","LBSPEC","True","BiomedicalConceptProperty","","83a3df94-63fc-4f4d-b0a9-918d91cd38bd","BiomedicalConceptProperty_153"
"LBFAST","True","LBFAST","True","BiomedicalConceptProperty","","7fa0d391-970d-453f-90fd-9ddd30155644","BiomedicalConceptProperty_154"
"LBTESTCD","True","LBTESTCD","True","BiomedicalConceptProperty","","380b0961-81f2-49d5-b8e4-adad381072ae","BiomedicalConceptProperty_155"
"LBORRES","True","LBORRES","True","BiomedicalConceptProperty","float","27314308-5e28-456b-879b-c3e8c9329db7","BiomedicalConceptProperty_156"
"LBORRESU","True","LBORRESU","True","BiomedicalConceptProperty","","9bea67c8-877d-46c8-917e-072ecd5f2059","BiomedicalConceptProperty_157"
"LBSPEC","True","LBSPEC","True","BiomedicalConceptProperty","","ff0a0f5c-1aef-402b-b3a6-50de2b6059cb","BiomedicalConceptProperty_158"
"LBFAST","True","LBFAST","True","BiomedicalConceptProperty","","b0df9139-4230-41ec-8006-6169aa133196","BiomedicalConceptProperty_159"
"LBTESTCD","True","LBTESTCD","True","BiomedicalConceptProperty","","7df78f6a-aaa9-4480-b691-655011412b8b","BiomedicalConceptProperty_160"
"LBORRES","True","LBORRES","True","BiomedicalConceptProperty","float","d699a7e7-8266-4f42-be3f-c90cb056fde8","BiomedicalConceptProperty_161"
"LBORRESU","True","LBORRESU","True","BiomedicalConceptProperty","","ac9f6469-e28f-48c1-bcac-fbae262e0fae","BiomedicalConceptProperty_162"
"LBSPEC","True","LBSPEC","True","BiomedicalConceptProperty","","d532ae90-df7b-477b-bff3-f66e2e4c564e","BiomedicalConceptProperty_163"
"LBFAST","True","LBFAST","True","BiomedicalConceptProperty","","5bedcd00-ea75-49e1-928d-eec7beee6622","BiomedicalConceptProperty_164"
"LBTESTCD","True","LBTESTCD","True","BiomedicalConceptProperty","","a0e78274-3eb3-4981-b0b1-be4d5c3a4d13","BiomedicalConceptProperty_165"
"LBORRES","True","LBORRES","True","BiomedicalConceptProperty","float","b9bac5f3-946f-4868-9ac8-8f6d22d79d13","BiomedicalConceptProperty_166"
"LBORRESU","True","LBORRESU","True","BiomedicalConceptProperty","","24372e1d-70ae-4920-991f-e053dec06b53","BiomedicalConceptProperty_167"
"LBSPEC","True","LBSPEC","True","BiomedicalConceptProperty","","0c9c409b-32cf-4b2c-814c-fd1d06b21246","BiomedicalConceptProperty_168"
"LBFAST","True","LBFAST","True","BiomedicalConceptProperty","","a7e1640b-52f5-433d-ab53-296f317d4c8c","BiomedicalConceptProperty_169"
"AETERM","True","AETERM","True","BiomedicalConceptProperty","text","4644fe5c-06f9-47e2-98b1-70a3bfc0ff9c","BiomedicalConceptProperty_1"
"AEDECOD","True","AEDECOD","True","BiomedicalConceptProperty","text","7f9cfe8c-8ba2-4cce-a720-141970ff3646","BiomedicalConceptProperty_2"
"AEPRESP","True","AEPRESP","True","BiomedicalConceptProperty","text","c7eeb51c-b522-4ac8-84ab-db016b17ba59","BiomedicalConceptProperty_3"
"AELOC","True","AELOC","True","BiomedicalConceptProperty","text","405f7da5-73f7-4b22-aade-f0edb9c17721","BiomedicalConceptProperty_4"
"AESEV","True","AESEV","True","BiomedicalConceptProperty","text","07e1e5ca-0ccd-4217-86c5-e7688b619b23","BiomedicalConceptProperty_5"
"AESER","True","AESER","True","BiomedicalConceptProperty","text","1d0102be-ea70-4b06-97b5-b942a77ba80f","BiomedicalConceptProperty_6"
"AEACN","True","AEACN","True","BiomedicalConceptProperty","text","2359ca7d-d3ac-475a-9e64-228829dacf00","BiomedicalConceptProperty_7"
"AEACNOTH","True","AEACNOTH","True","BiomedicalConceptProperty","text","7dcb5574-0253-4983-b766-707e21cf51ce","BiomedicalConceptProperty_8"
"AEREL","True","AEREL","True","BiomedicalConceptProperty","text","ee49ba5b-5dfe-4cd3-8490-591c0e459148","BiomedicalConceptProperty_9"
"AERELNST","True","AERELNST","True","BiomedicalConceptProperty","text","e791bd0d-c6d3-4ced-a5e6-c926d0953ae4","BiomedicalConceptProperty_10"
"AEPATT","True","AEPATT","True","BiomedicalConceptProperty","text","835e6027-3cbd-40b9-a759-d179c49bbbcc","BiomedicalConceptProperty_11"
"AEOUT","True","AEOUT","True","BiomedicalConceptProperty","text","92c3d2da-2c11-4125-891a-f225fd2a401c","BiomedicalConceptProperty_12"
"AESCAN","True","AESCAN","True","BiomedicalConceptProperty","text","a915fa60-5fdd-4877-96cd-9b7b1a543e48","BiomedicalConceptProperty_13"
"AESCONG","True","AESCONG","True","BiomedicalConceptProperty","text","67d162ce-d29f-4588-8bad-eddd56dcfb47","BiomedicalConceptProperty_14"
"AESDISAB","True","AESDISAB","True","BiomedicalConceptProperty","text","99b943ef-426d-421f-ac94-280abee1bbbc","BiomedicalConceptProperty_15"
"AESDTH","True","AESDTH","True","BiomedicalConceptProperty","text","61551e82-ebb9-4509-8b5c-d758167fb9a1","BiomedicalConceptProperty_16"
"AESHOSP","True","AESHOSP","True","BiomedicalConceptProperty","text","20df24d3-2773-4d62-89b5-43eb5e9acb22","BiomedicalConceptProperty_17"
"AESLIFE","True","AESLIFE","True","BiomedicalConceptProperty","text","5e86d10e-3cbc-4f43-874b-3b367a10b1b2","BiomedicalConceptProperty_18"
"AESOD","True","AESOD","True","BiomedicalConceptProperty","text","5bfc38a4-8098-4fa1-beba-ecc906aa719f","BiomedicalConceptProperty_19"
"AESMIE","True","AESMIE","True","BiomedicalConceptProperty","text","2649d483-7106-4232-a2aa-d69a6785a004","BiomedicalConceptProperty_20"
"AECONTRT","True","AECONTRT","True","BiomedicalConceptProperty","text","f60680cf-1847-43e6-8f57-e227ae34309a","BiomedicalConceptProperty_21"
"AESTDTC","True","AESTDTC","True","BiomedicalConceptProperty","datetime","6f0118a1-d7e6-43a8-9da3-fb42c1721100","BiomedicalConceptProperty_22"
"AEENDTC","True","AEENDTC","True","BiomedicalConceptProperty","datetime","64d6c7c7-bf1d-4fa6-9c5e-b26a906ec514","BiomedicalConceptProperty_23"
"VSTESTCD","True","VSTESTCD","True","BiomedicalConceptProperty","","b511b62a-12c6-4afe-a332-c09e086b1211","BiomedicalConceptProperty_24"
"VSORRES","True","VSORRES","True","BiomedicalConceptProperty","integer","1afff6b9-38a6-41cd-80b2-507862eb3920","BiomedicalConceptProperty_25"
"VSORRESU","True","VSORRESU","True","BiomedicalConceptProperty","","bc9b01a1-5722-4f6f-a58e-f5a23d543edc","BiomedicalConceptProperty_26"
"VSPOS","True","VSPOS","True","BiomedicalConceptProperty","","81a45ee9-98b1-4eb5-9a50-c0c7bfa853e8","BiomedicalConceptProperty_27"
"VSLOC","True","VSLOC","True","BiomedicalConceptProperty","","bc02a26d-9db2-4412-ac1b-9b713aa7532a","BiomedicalConceptProperty_28"
"VSLAT","True","VSLAT","True","BiomedicalConceptProperty","","3f9df12d-2399-421b-8189-72fe1a8805d8","BiomedicalConceptProperty_29"
"VSTESTCD","True","VSTESTCD","True","BiomedicalConceptProperty","","b8c0af35-7aef-427c-bdb8-33dbab4f41a7","BiomedicalConceptProperty_30"
"VSORRES","True","VSORRES","True","BiomedicalConceptProperty","integer","d5f7b329-7e8f-429e-a483-ae45efefe842","BiomedicalConceptProperty_31"
"VSORRESU","True","VSORRESU","True","BiomedicalConceptProperty","","cc8e3882-12d2-45aa-bc20-5a6544b8adb0","BiomedicalConceptProperty_32"
"VSPOS","True","VSPOS","True","BiomedicalConceptProperty","","9e6a3313-5544-4681-8082-1de87f8c1bf7","BiomedicalConceptProperty_33"
"VSLOC","True","VSLOC","True","BiomedicalConceptProperty","","f05799dd-a044-400f-98e0-6d03210db8e1","BiomedicalConceptProperty_34"
"VSLAT","True","VSLAT","True","BiomedicalConceptProperty","","40cdf634-c445-480d-ab8f-476df9d24171","BiomedicalConceptProperty_35"
"VSTESTCD","True","VSTESTCD","True","BiomedicalConceptProperty","","eaa97b90-af9a-418f-8b1e-63424862eab9","BiomedicalConceptProperty_36"
"VSORRES","True","VSORRES","True","BiomedicalConceptProperty","float","13babd9d-efab-49ac-8094-345b6db6ab88","BiomedicalConceptProperty_37"
"VSORRESU","True","VSORRESU","True","BiomedicalConceptProperty","","fdd12be3-60dc-479a-947e-fec9b3a07952","BiomedicalConceptProperty_38"
"VSLOC","True","VSLOC","True","BiomedicalConceptProperty","","6bc85d6c-4590-493e-834b-f16211c1c09d","BiomedicalConceptProperty_39"
"VSTESTCD","True","VSTESTCD","True","BiomedicalConceptProperty","","6bafaa07-dc5d-463a-b416-ed17186b1fe8","BiomedicalConceptProperty_40"
"VSORRES","True","VSORRES","True","BiomedicalConceptProperty","float","45da6f84-4fc7-41b8-9a4b-b5fc71158681","BiomedicalConceptProperty_41"
"VSORRESU","True","VSORRESU","True","BiomedicalConceptProperty","","b889024c-aa66-4a60-8d6e-9bbb7380baf3","BiomedicalConceptProperty_42"
"VSTESTCD","True","VSTESTCD","True","BiomedicalConceptProperty","","7ce03fac-78e9-4e65-bbcf-e118b3eff216","BiomedicalConceptProperty_43"
"VSORRES","True","VSORRES","True","BiomedicalConceptProperty","float","5c3a4a35-81a7-4f8f-a3e9-8ead460bc5cc","BiomedicalConceptProperty_44"
"VSORRESU","True","VSORRESU","True","BiomedicalConceptProperty","","1a81f3c7-5f6a-40a1-88e7-be09391da32b","BiomedicalConceptProperty_45"
"LBTESTCD","True","LBTESTCD","True","BiomedicalConceptProperty","","a4950840-7b7d-4fba-b14c-62b3b379f09c","BiomedicalConceptProperty_46"
"LBORRES","True","LBORRES","True","BiomedicalConceptProperty","float","4eb8d865-d3e3-453c-9f98-165402b8a8a8","BiomedicalConceptProperty_47"
"LBORRESU","True","LBORRESU","True","BiomedicalConceptProperty","","ada4c737-760d-4565-a655-01edebb8b8a2","BiomedicalConceptProperty_48"
"LBSPEC","True","LBSPEC","True","BiomedicalConceptProperty","","8207d6c3-3369-44e1-a0aa-f1028a2186e0","BiomedicalConceptProperty_49"
"LBFAST","True","LBFAST","True","BiomedicalConceptProperty","","f4755e63-f7d6-4cac-885f-5651c41264a7","BiomedicalConceptProperty_50"
"LBTESTCD","True","LBTESTCD","True","BiomedicalConceptProperty","","f734e7b4-96e0-42d3-8a05-ab8eb5f7ba28","BiomedicalConceptProperty_51"
"LBORRES","True","LBORRES","True","BiomedicalConceptProperty","text","932695c0-2ed9-45e8-b841-40ad5ad5fdb6","BiomedicalConceptProperty_52"
"LBSPEC","True","LBSPEC","True","BiomedicalConceptProperty","","3d7e101f-8c5e-4275-af66-5360b0a5f6e9","BiomedicalConceptProperty_53"
"LBFAST","True","LBFAST","True","BiomedicalConceptProperty","","7f815172-f3b9-451b-bc00-ed4d2aacbba2","BiomedicalConceptProperty_54"
"LBTESTCD","True","LBTESTCD","True","BiomedicalConceptProperty","","75d9ed9c-d1d8-4790-ac07-d050e89e1b9a","BiomedicalConceptProperty_55"
"LBORRES","True","LBORRES","True","BiomedicalConceptProperty","float","d4a75a59-181a-4dda-8efb-295b458f2263","BiomedicalConceptProperty_56"
"LBORRESU","True","LBORRESU","True","BiomedicalConceptProperty","","fac1c43f-2cad-41fc-87b3-d5ca2558061e","BiomedicalConceptProperty_57"
"LBSPEC","True","LBSPEC","True","BiomedicalConceptProperty","","e1c4ab81-6ac0-4f50-aa8b-f3b919a6df31","BiomedicalConceptProperty_58"
"LBFAST","True","LBFAST","True","BiomedicalConceptProperty","","0ce5bd44-19da-4c0d-b2ac-bcbbbdf3e749","BiomedicalConceptProperty_59"
"LBTESTCD","True","LBTESTCD","True","BiomedicalConceptProperty","","bd750370-98cc-41b8-ac7c-0d264f4a6ae8","BiomedicalConceptProperty_60"
"LBORRES","True","LBORRES","True","BiomedicalConceptProperty","float","40ab3f3d-b321-4c5c-a4cd-3326e91532f0","BiomedicalConceptProperty_61"
"LBORRESU","True","LBORRESU","True","BiomedicalConceptProperty","","e86ac333-1240-486b-baa8-b6137da94ab3","BiomedicalConceptProperty_62"
"LBSPEC","True","LBSPEC","True","BiomedicalConceptProperty","","0b50eb30-738b-4479-95c7-ed9e8347bd96","BiomedicalConceptProperty_63"
"LBFAST","True","LBFAST","True","BiomedicalConceptProperty","","e0d29207-dbcb-41f1-b479-b2034f4b3aeb","BiomedicalConceptProperty_64"
"LBTESTCD","True","LBTESTCD","True","BiomedicalConceptProperty","","0e517552-50aa-455f-bbf1-124db03d3c53","BiomedicalConceptProperty_65"
"LBORRES","True","LBORRES","True","BiomedicalConceptProperty","float","fa52f1d5-217f-4ba4-969f-b40356382d23","BiomedicalConceptProperty_66"
"LBORRESU","True","LBORRESU","True","BiomedicalConceptProperty","","1fc244b2-c90a-486e-a278-edf9f98bce9e","BiomedicalConceptProperty_67"
"LBSPEC","True","LBSPEC","True","BiomedicalConceptProperty","","cdac1b0f-b426-4a16-8d8e-001ad7e3aa28","BiomedicalConceptProperty_68"
"LBFAST","True","LBFAST","True","BiomedicalConceptProperty","","ac5a913d-8393-4f36-9f24-fea7b67b4b76","BiomedicalConceptProperty_69"
"LBTESTCD","True","LBTESTCD","True","BiomedicalConceptProperty","","eeb0d61b-276c-4558-a26c-f5561f71cc7b","BiomedicalConceptProperty_70"
"LBORRES","True","LBORRES","True","BiomedicalConceptProperty","float","7209820e-bf4f-42d0-b765-9703d935c2a0","BiomedicalConceptProperty_71"
"LBORRESU","True","LBORRESU","True","BiomedicalConceptProperty","","0cc6e281-a07f-4fcb-bed5-237fbd60b827","BiomedicalConceptProperty_72"
"LBSPEC","True","LBSPEC","True","BiomedicalConceptProperty","","8a243aa1-4e0a-428b-a3bc-b4f5b951ec82","BiomedicalConceptProperty_73"
"LBFAST","True","LBFAST","True","BiomedicalConceptProperty","","c6d05513-3a7f-4f4f-9d45-f4d18588133e","BiomedicalConceptProperty_74"
"LBTESTCD","True","LBTESTCD","True","BiomedicalConceptProperty","","cf3f65c1-c888-43cf-845e-1b94b2d81f12","BiomedicalConceptProperty_75"
"LBORRES","True","LBORRES","True","BiomedicalConceptProperty","float","60b75ec3-db6f-4c13-bfac-37836e58eea1","BiomedicalConceptProperty_76"
"LBORRESU","True","LBORRESU","True","BiomedicalConceptProperty","","6e8c706f-475c-4e6d-8ca3-55f3c2fcced9","BiomedicalConceptProperty_77"
"LBSPEC","True","LBSPEC","True","BiomedicalConceptProperty","","6f34ca26-78b8-4510-967b-487451615b8e","BiomedicalConceptProperty_78"
"LBFAST","True","LBFAST","True","BiomedicalConceptProperty","","6e159798-9096-4111-b2ed-2ea7629077d3","BiomedicalConceptProperty_79"
"VSTESTCD","True","VSTESTCD","True","BiomedicalConceptProperty","","233b840a-95a1-4124-8378-758d7e808a7b","BiomedicalConceptProperty_80"
"VSORRES","True","VSORRES","True","BiomedicalConceptProperty","integer","ea650688-286d-4275-a6e4-3f661b51a51a","BiomedicalConceptProperty_81"
"VSORRESU","True","VSORRESU","True","BiomedicalConceptProperty","","e9acce2a-128f-4f5d-8420-2806ba496bf8","BiomedicalConceptProperty_82"
"VSPOS","True","VSPOS","True","BiomedicalConceptProperty","","520f5d12-9bf3-4263-9d82-7f23d9290ddc","BiomedicalConceptProperty_83"
"VSLOC","True","VSLOC","True","BiomedicalConceptProperty","","80e26811-1d2f-472e-931b-dd197f5c846b","BiomedicalConceptProperty_84"
"VSLAT","True","VSLAT","True","BiomedicalConceptProperty","","1943e1ba-5bf4-47cb-aa72-b11f1640a959","BiomedicalConceptProperty_85"
"VSTESTCD","True","VSTESTCD","True","BiomedicalConceptProperty","","91fea418-85e5-4cc6-840b-48ac45fb2de1","BiomedicalConceptProperty_86"
"VSORRES","True","VSORRES","True","BiomedicalConceptProperty","integer","7a7db1e6-d351-4f9a-be31-2b06f7aa4be0","BiomedicalConceptProperty_87"
"VSORRESU","True","VSORRESU","True","BiomedicalConceptProperty","","bf263e3d-4ad4-4b1d-8054-032c73d3881f","BiomedicalConceptProperty_88"
"VSPOS","True","VSPOS","True","BiomedicalConceptProperty","","9df1543b-ccfa-41f4-b5bc-17d4f940c1db","BiomedicalConceptProperty_89"
"VSLOC","True","VSLOC","True","BiomedicalConceptProperty","","d68ff35b-1abc-4d45-bb29-1202cbb450a2","BiomedicalConceptProperty_90"
"VSLAT","True","VSLAT","True","BiomedicalConceptProperty","","8672a53d-4bc4-449d-a2fb-68beaee596f6","BiomedicalConceptProperty_91"
"VSTESTCD","True","VSTESTCD","True","BiomedicalConceptProperty","","d35a1a27-9197-487a-8b58-c3dacbb2a5e9","BiomedicalConceptProperty_92"
"VSORRES","True","VSORRES","True","BiomedicalConceptProperty","integer","303a3ac6-9994-4bde-8e78-779503e75fa6","BiomedicalConceptProperty_93"
"VSORRESU","True","VSORRESU","True","BiomedicalConceptProperty","","ba0aa8f2-ca1d-4ba7-a4c4-12363db6ab7d","BiomedicalConceptProperty_94"
"VSPOS","True","VSPOS","True","BiomedicalConceptProperty","","a145cdbf-f695-4211-8303-a9491eed8e8c","BiomedicalConceptProperty_95"
"VSLOC","True","VSLOC","True","BiomedicalConceptProperty","","1844bb9b-1130-4fcc-ac9f-de2d672bcac5","BiomedicalConceptProperty_96"
"VSLAT","True","VSLAT","True","BiomedicalConceptProperty","","b5bde4b2-0b6c-4af2-86e7-7654eff6e6d5","BiomedicalConceptProperty_97"
"VSTESTCD","True","VSTESTCD","True","BiomedicalConceptProperty","","faa45d0a-d44d-43de-aeac-7560c65b65ef","BiomedicalConceptProperty_98"
"VSORRES","True","VSORRES","True","BiomedicalConceptProperty","integer","a41436d3-5336-4f0f-aec5-fd50e5bbe0bc","BiomedicalConceptProperty_99"
"VSORRESU","True","VSORRESU","True","BiomedicalConceptProperty","","00009cc6-21ec-4eb6-9ecf-66ebb0c169ce","BiomedicalConceptProperty_100"
"VSPOS","True","VSPOS","True","BiomedicalConceptProperty","","307977c3-a3ef-42ec-acdd-fe3a5103549d","BiomedicalConceptProperty_101"
"VSLOC","True","VSLOC","True","BiomedicalConceptProperty","","78415afa-3b26-42ee-8fd8-832230eb60dc","BiomedicalConceptProperty_102"
"VSLAT","True","VSLAT","True","BiomedicalConceptProperty","","e8f30690-b6c4-40f2-9fd0-f97247d6f9e4","BiomedicalConceptProperty_103"
"VSTESTCD","True","VSTESTCD","True","BiomedicalConceptProperty","","d0f98e2c-7121-4837-8b2f-9080f9d946f7","BiomedicalConceptProperty_104"
"VSORRES","True","VSORRES","True","BiomedicalConceptProperty","integer","7b06cdef-7077-4848-b4ad-7e7d10db4d93","BiomedicalConceptProperty_105"
"VSORRESU","True","VSORRESU","True","BiomedicalConceptProperty","","d9e487c4-0395-4c14-8eea-572505175652","BiomedicalConceptProperty_106"
"VSPOS","True","VSPOS","True","BiomedicalConceptProperty","","7f6ffde3-fad9-4ac6-8a55-c57d51f3bf35","BiomedicalConceptProperty_107"
"VSLOC","True","VSLOC","True","BiomedicalConceptProperty","","d024c128-271e-41c1-8084-fbac8b404d0c","BiomedicalConceptProperty_108"
"VSLAT","True","VSLAT","True","BiomedicalConceptProperty","","2124f317-c0d5-41c6-8bf6-f3cd5bb26ae6","BiomedicalConceptProperty_109"
"VSTESTCD","True","VSTESTCD","True","BiomedicalConceptProperty","","3b508c81-7441-4e89-89af-ea4345db09da","BiomedicalConceptProperty_110"
"VSORRES","True","VSORRES","True","BiomedicalConceptProperty","integer","35e75909-abf3-4993-af12-7e598a68636f","BiomedicalConceptProperty_111"
"VSORRESU","True","VSORRESU","True","BiomedicalConceptProperty","","5cd53631-f9ec-415f-a5d7-b4487642d83b","BiomedicalConceptProperty_112"
"VSPOS","True","VSPOS","True","BiomedicalConceptProperty","","ad45be45-20f1-4f4d-a1db-b96d9061c69f","BiomedicalConceptProperty_113"
"VSLOC","True","VSLOC","True","BiomedicalConceptProperty","","cf7f3d0d-e818-4a22-a745-5b98d9ff22e4","BiomedicalConceptProperty_114"
"VSLAT","True","VSLAT","True","BiomedicalConceptProperty","","a1222c42-86f3-41a8-a1a6-104d33ca7f8c","BiomedicalConceptProperty_115"
