"instanceType","name","datatype","isRequired","isEnabled","uuid:ID","label","id"
"BiomedicalConceptProperty","VSTESTCD","","True","True","19af2d06-9b9f-46da-bb0d-9686224e252c","VSTESTCD","BiomedicalConceptProperty_30"
"BiomedicalConceptProperty","VSORRES","integer","True","True","21f24002-d269-483b-8024-8cc5546c77b1","VSORRES","BiomedicalConceptProperty_31"
"BiomedicalConceptProperty","VSORRESU","","True","True","5d9c32f4-2ec3-4db2-8b95-7560e4fb5cb7","VSORRESU","BiomedicalConceptProperty_32"
"BiomedicalConceptProperty","VSPOS","","True","True","47f56551-4344-4eb4-b65f-f18f1963a46f","VSPOS","BiomedicalConceptProperty_33"
"BiomedicalConceptProperty","VSLOC","","True","True","2d6278fb-a240-426a-91ae-fce88ec9cf6f","VSLOC","BiomedicalConceptProperty_34"
"BiomedicalConceptProperty","VSLAT","","True","True","417cc2f6-9e8f-40af-b4c1-12862f6853e1","VSLAT","BiomedicalConceptProperty_35"
"BiomedicalConceptProperty","VSTESTCD","","True","True","6bfc7e7d-4277-4807-9e43-8d25d0c0d246","VSTESTCD","BiomedicalConceptProperty_36"
"BiomedicalConceptProperty","VSORRES","float","True","True","4f7eac31-5a1f-4f74-9ea8-3c36980a0ad0","VSORRES","BiomedicalConceptProperty_37"
"BiomedicalConceptProperty","VSORRESU","","True","True","492bad79-30a1-484a-b7ba-1af7adc39fed","VSORRESU","BiomedicalConceptProperty_38"
"BiomedicalConceptProperty","VSLOC","","True","True","c25b6346-4e68-4c51-ba27-4a1832b34a4c","VSLOC","BiomedicalConceptProperty_39"
"BiomedicalConceptProperty","VSTESTCD","","True","True","25117b9d-001d-4728-b8ea-3ac713870630","VSTESTCD","BiomedicalConceptProperty_40"
"BiomedicalConceptProperty","VSORRES","float","True","True","c6a98bad-1312-4390-915a-0ae3881446ed","VSORRES","BiomedicalConceptProperty_41"
"BiomedicalConceptProperty","VSORRESU","","True","True","dafb9600-2cec-4427-a605-e01ce4598f3c","VSORRESU","BiomedicalConceptProperty_42"
"BiomedicalConceptProperty","VSTESTCD","","True","True","0b59feb4-9528-4f20-84f5-0bd11f2cc8f3","VSTESTCD","BiomedicalConceptProperty_43"
"BiomedicalConceptProperty","VSORRES","float","True","True","1876b412-54ec-4076-897d-bddbe4fcafb1","VSORRES","BiomedicalConceptProperty_44"
