"name","instanceType","label","isRequired","isEnabled","uuid:ID","datatype","id"
"VSORRES","BiomedicalConceptProperty","VSORRES","True","True","1d8771cd-a3a9-4d5b-b4f1-a062b8d03030","float","BiomedicalConceptProperty_129"
"VSORRESU","BiomedicalConceptProperty","VSORRESU","True","True","bba55c86-a52f-4f7c-a4b1-b92987fcb1c2","","BiomedicalConceptProperty_130"
"LBTESTCD","BiomedicalConceptProperty","LBTESTCD","True","True","e589bc4f-f854-4ee3-ac64-86a5cb8d2616","","BiomedicalConceptProperty_131"
"LBORRES","BiomedicalConceptProperty","LBORRES","True","True","4bea768b-a73c-49a2-a1a9-c996f64c8ab5","float","BiomedicalConceptProperty_132"
"LBORRESU","BiomedicalConceptProperty","LBORRESU","True","True","190fc674-259a-481c-95cd-1fd8f22d3464","","BiomedicalConceptProperty_133"
"LBSPEC","BiomedicalConceptProperty","LBSPEC","True","True","ad26d269-dc07-4d4e-8031-5ea3fb84654e","","BiomedicalConceptProperty_134"
"LBFAST","BiomedicalConceptProperty","LBFAST","True","True","cc00bd93-9e58-4f78-878f-058023f417f9","","BiomedicalConceptProperty_135"
"LBTESTCD","BiomedicalConceptProperty","LBTESTCD","True","True","868119be-2b11-4bd9-9feb-94b05c8ec190","","BiomedicalConceptProperty_136"
"LBORRES","BiomedicalConceptProperty","LBORRES","True","True","a94b811c-8396-4a0e-89e5-281a16b811d3","text","BiomedicalConceptProperty_137"
"LBSPEC","BiomedicalConceptProperty","LBSPEC","True","True","3bbcf615-9069-45e8-a393-0d2d7c1f09ac","","BiomedicalConceptProperty_138"
"LBFAST","BiomedicalConceptProperty","LBFAST","True","True","1f20bd62-7874-44d0-880c-63f29a36703c","","BiomedicalConceptProperty_139"
"LBTESTCD","BiomedicalConceptProperty","LBTESTCD","True","True","a9ba5a1d-c8e5-4f29-95e8-81bb067e340f","","BiomedicalConceptProperty_140"
"LBORRES","BiomedicalConceptProperty","LBORRES","True","True","7477e5cb-329d-4763-a1ad-27ea9c8a0538","float","BiomedicalConceptProperty_141"
"LBORRESU","BiomedicalConceptProperty","LBORRESU","True","True","ab52591e-b41b-4e27-9323-316480f46937","","BiomedicalConceptProperty_142"
"LBSPEC","BiomedicalConceptProperty","LBSPEC","True","True","2f1729e4-9aa3-4c84-8d29-87c057ecbb42","","BiomedicalConceptProperty_143"
"LBFAST","BiomedicalConceptProperty","LBFAST","True","True","48a07dbc-6463-4248-a8ab-f9096edf6b4b","","BiomedicalConceptProperty_144"
"LBTESTCD","BiomedicalConceptProperty","LBTESTCD","True","True","ffd3ef2c-e3f4-4bc4-a18e-56feb85ce908","","BiomedicalConceptProperty_145"
"LBORRES","BiomedicalConceptProperty","LBORRES","True","True","34163a02-ff16-4a38-822f-fd0c07ae1563","float","BiomedicalConceptProperty_146"
"LBORRESU","BiomedicalConceptProperty","LBORRESU","True","True","624a75a7-30d5-417d-b315-3d5f4faf3f7f","","BiomedicalConceptProperty_147"
"LBSPEC","BiomedicalConceptProperty","LBSPEC","True","True","8257b8c6-5df6-4694-94ed-a0d5a22db6de","","BiomedicalConceptProperty_148"
"LBFAST","BiomedicalConceptProperty","LBFAST","True","True","c1ef2b3b-b4cd-4540-88b4-f553671b30c1","","BiomedicalConceptProperty_149"
"LBTESTCD","BiomedicalConceptProperty","LBTESTCD","True","True","f04872a1-b701-4e8f-b4a9-b22b29ee6480","","BiomedicalConceptProperty_150"
"LBORRES","BiomedicalConceptProperty","LBORRES","True","True","128de918-42ef-4c3c-a5f0-579506cf16d6","float","BiomedicalConceptProperty_151"
"LBORRESU","BiomedicalConceptProperty","LBORRESU","True","True","8e5c5a30-54af-4388-a4a1-0179e420430c","","BiomedicalConceptProperty_152"
"LBSPEC","BiomedicalConceptProperty","LBSPEC","True","True","780590dd-2072-47e7-9bc8-aa213ff75630","","BiomedicalConceptProperty_153"
"LBFAST","BiomedicalConceptProperty","LBFAST","True","True","b6412575-e426-4b78-b0dd-5f5db36f08e8","","BiomedicalConceptProperty_154"
"LBTESTCD","BiomedicalConceptProperty","LBTESTCD","True","True","fc2cb5d2-d11d-4668-bcac-377168182b8e","","BiomedicalConceptProperty_155"
"LBORRES","BiomedicalConceptProperty","LBORRES","True","True","61f338f7-52ec-4e87-9670-07c50242c69b","float","BiomedicalConceptProperty_156"
"LBORRESU","BiomedicalConceptProperty","LBORRESU","True","True","03b78736-f56a-4274-8b66-0c6be722fdd8","","BiomedicalConceptProperty_157"
"LBSPEC","BiomedicalConceptProperty","LBSPEC","True","True","17bf66a3-ac46-47c9-9bc9-1f709f928df2","","BiomedicalConceptProperty_158"
"LBFAST","BiomedicalConceptProperty","LBFAST","True","True","f6413e32-6c76-4126-9ebd-53184c86621d","","BiomedicalConceptProperty_159"
"LBTESTCD","BiomedicalConceptProperty","LBTESTCD","True","True","a1fffd0a-9846-42dd-9f29-e39b1533d553","","BiomedicalConceptProperty_160"
"LBORRES","BiomedicalConceptProperty","LBORRES","True","True","4c68a5c8-0eee-4266-9963-4c0aff9fcab8","float","BiomedicalConceptProperty_161"
"LBORRESU","BiomedicalConceptProperty","LBORRESU","True","True","fb8793dd-c354-4fa0-a68c-d8eb8da037a9","","BiomedicalConceptProperty_162"
"LBSPEC","BiomedicalConceptProperty","LBSPEC","True","True","ba808e37-d734-41e3-9607-71a16154d42d","","BiomedicalConceptProperty_163"
"LBFAST","BiomedicalConceptProperty","LBFAST","True","True","17caa3d4-1db3-4662-9d7e-e8f4f90136e1","","BiomedicalConceptProperty_164"
"LBTESTCD","BiomedicalConceptProperty","LBTESTCD","True","True","2bb69be5-985c-4f56-a278-bb8d599e93e5","","BiomedicalConceptProperty_165"
"LBORRES","BiomedicalConceptProperty","LBORRES","True","True","df39097e-899b-4baf-aed2-f221095f7849","float","BiomedicalConceptProperty_166"
"LBORRESU","BiomedicalConceptProperty","LBORRESU","True","True","7842e728-835f-4681-8230-c866673e71d2","","BiomedicalConceptProperty_167"
"LBSPEC","BiomedicalConceptProperty","LBSPEC","True","True","510c17c9-6dc2-4b6e-81a7-3d77f348c16a","","BiomedicalConceptProperty_168"
"LBFAST","BiomedicalConceptProperty","LBFAST","True","True","31d69e98-c793-4e2f-8525-bd007c32f46b","","BiomedicalConceptProperty_169"
"AETERM","BiomedicalConceptProperty","AETERM","True","True","94e7c08c-acaa-46d8-98db-01d0134ace61","text","BiomedicalConceptProperty_1"
"AEDECOD","BiomedicalConceptProperty","AEDECOD","True","True","4e7eb73d-e920-4100-9ca2-ec295556ec37","text","BiomedicalConceptProperty_2"
"AEPRESP","BiomedicalConceptProperty","AEPRESP","True","True","4c7ccd32-881d-4486-9c0e-913db0f00200","text","BiomedicalConceptProperty_3"
"AELOC","BiomedicalConceptProperty","AELOC","True","True","51fbdef8-e89c-4903-ad74-c729dafd92ad","text","BiomedicalConceptProperty_4"
"AESEV","BiomedicalConceptProperty","AESEV","True","True","2edfc28b-8ba8-4337-aca7-0f31cb92bb2c","text","BiomedicalConceptProperty_5"
"AESER","BiomedicalConceptProperty","AESER","True","True","21cf8252-cc33-455d-85a3-0235a1b4338f","text","BiomedicalConceptProperty_6"
"AEACN","BiomedicalConceptProperty","AEACN","True","True","a8116f83-fe1e-4770-9783-05b25220fc37","text","BiomedicalConceptProperty_7"
"AEACNOTH","BiomedicalConceptProperty","AEACNOTH","True","True","513c8017-acb9-47e5-9a5c-d4888094367b","text","BiomedicalConceptProperty_8"
"AEREL","BiomedicalConceptProperty","AEREL","True","True","e7b30094-2726-4ffe-878a-a2b74429b9e6","text","BiomedicalConceptProperty_9"
"AERELNST","BiomedicalConceptProperty","AERELNST","True","True","f603c6aa-22d8-41c5-a8c3-d645b70d4339","text","BiomedicalConceptProperty_10"
"AEPATT","BiomedicalConceptProperty","AEPATT","True","True","4299a938-12cd-4912-b77d-1a6b79e4f737","text","BiomedicalConceptProperty_11"
"AEOUT","BiomedicalConceptProperty","AEOUT","True","True","1e273522-43ad-4980-a525-65ba648d2918","text","BiomedicalConceptProperty_12"
"AESCAN","BiomedicalConceptProperty","AESCAN","True","True","f7b275c0-9a6e-4cee-8096-3b5d1ad210f6","text","BiomedicalConceptProperty_13"
"AESCONG","BiomedicalConceptProperty","AESCONG","True","True","ffdf78b0-f1be-465b-bbfc-53f5c783226d","text","BiomedicalConceptProperty_14"
"AESDISAB","BiomedicalConceptProperty","AESDISAB","True","True","0d8ba94a-eccd-4c22-9013-38f6c4b76c26","text","BiomedicalConceptProperty_15"
"AESDTH","BiomedicalConceptProperty","AESDTH","True","True","f7bee97d-27df-473f-a2c4-f05bdbe158d9","text","BiomedicalConceptProperty_16"
"AESHOSP","BiomedicalConceptProperty","AESHOSP","True","True","661bfadf-1040-4b62-956d-6dbc6e750df2","text","BiomedicalConceptProperty_17"
"AESLIFE","BiomedicalConceptProperty","AESLIFE","True","True","ea2f00c3-9ec7-431b-8db0-3be838af6da7","text","BiomedicalConceptProperty_18"
"AESOD","BiomedicalConceptProperty","AESOD","True","True","8e04746f-92c4-4de3-9709-cda958fbb5be","text","BiomedicalConceptProperty_19"
"AESMIE","BiomedicalConceptProperty","AESMIE","True","True","3a8ce5eb-0b6b-4d41-9f69-71df74c9335d","text","BiomedicalConceptProperty_20"
"AECONTRT","BiomedicalConceptProperty","AECONTRT","True","True","34fdc869-a8f9-47ac-acac-fe0986138ed9","text","BiomedicalConceptProperty_21"
"AESTDTC","BiomedicalConceptProperty","AESTDTC","True","True","cfe471b7-c193-4dc8-9a8d-e4bc1fbe6d4b","datetime","BiomedicalConceptProperty_22"
"AEENDTC","BiomedicalConceptProperty","AEENDTC","True","True","6f7ef683-1337-4f5b-ae4d-5dde8ede46b5","datetime","BiomedicalConceptProperty_23"
"VSTESTCD","BiomedicalConceptProperty","VSTESTCD","True","True","330101a1-4431-4c60-9b31-b3ffa431f557","","BiomedicalConceptProperty_24"
"VSORRES","BiomedicalConceptProperty","VSORRES","True","True","36053362-a72d-42bc-a17f-20f3314eeccc","integer","BiomedicalConceptProperty_25"
"VSORRESU","BiomedicalConceptProperty","VSORRESU","True","True","6f429cf4-36ae-4c4c-a3cb-26b77193381f","","BiomedicalConceptProperty_26"
"VSPOS","BiomedicalConceptProperty","VSPOS","True","True","13fd2b36-4a77-4f65-a5e7-0507a2d76950","","BiomedicalConceptProperty_27"
"VSLOC","BiomedicalConceptProperty","VSLOC","True","True","c8244adc-e8ac-4b1c-8ae8-a84fcc61c6c8","","BiomedicalConceptProperty_28"
"VSLAT","BiomedicalConceptProperty","VSLAT","True","True","f22be954-bd77-4c23-90ee-58b5f6f47c8a","","BiomedicalConceptProperty_29"
"VSTESTCD","BiomedicalConceptProperty","VSTESTCD","True","True","9bce8e67-2654-41fb-86f6-b1e60df0d38c","","BiomedicalConceptProperty_30"
"VSORRES","BiomedicalConceptProperty","VSORRES","True","True","68343d61-825a-46c8-8c98-f10b5a29ccd1","integer","BiomedicalConceptProperty_31"
"VSORRESU","BiomedicalConceptProperty","VSORRESU","True","True","dd9b6382-0b95-4a9e-b62a-76dcec8ebad5","","BiomedicalConceptProperty_32"
"VSPOS","BiomedicalConceptProperty","VSPOS","True","True","bdb0ac83-2a92-4dcc-8413-5707e20c3511","","BiomedicalConceptProperty_33"
"VSLOC","BiomedicalConceptProperty","VSLOC","True","True","d438e57a-6555-495a-bb52-1526fad15128","","BiomedicalConceptProperty_34"
"VSLAT","BiomedicalConceptProperty","VSLAT","True","True","d98c855b-7ba7-4bd4-9bfe-76d8f5812017","","BiomedicalConceptProperty_35"
"VSTESTCD","BiomedicalConceptProperty","VSTESTCD","True","True","cab34c47-cb4d-45c9-9172-b8fe2320c845","","BiomedicalConceptProperty_36"
"VSORRES","BiomedicalConceptProperty","VSORRES","True","True","4c7ffbd2-ac97-4688-99d9-aed8ff5b18ec","float","BiomedicalConceptProperty_37"
"VSORRESU","BiomedicalConceptProperty","VSORRESU","True","True","2a05c62a-d813-4fb0-a946-5d0500739fdc","","BiomedicalConceptProperty_38"
"VSLOC","BiomedicalConceptProperty","VSLOC","True","True","2dcf7057-18eb-4145-b648-ad775fafaff7","","BiomedicalConceptProperty_39"
"VSTESTCD","BiomedicalConceptProperty","VSTESTCD","True","True","8d796af8-354e-4711-b45a-a8af77283f04","","BiomedicalConceptProperty_40"
"VSORRES","BiomedicalConceptProperty","VSORRES","True","True","303dde2e-ad29-464a-a0e6-d26553a42bf7","float","BiomedicalConceptProperty_41"
"VSORRESU","BiomedicalConceptProperty","VSORRESU","True","True","541a5e92-c079-43b2-802d-c9328e22f8d1","","BiomedicalConceptProperty_42"
"VSTESTCD","BiomedicalConceptProperty","VSTESTCD","True","True","63c6efdf-3e52-425d-93b8-cf33daca1e45","","BiomedicalConceptProperty_43"
"VSORRES","BiomedicalConceptProperty","VSORRES","True","True","c9bf1d8d-aa10-4ecc-aa84-3015331c8e0a","float","BiomedicalConceptProperty_44"
"VSORRESU","BiomedicalConceptProperty","VSORRESU","True","True","6bdff2ae-0118-4db6-9ffb-a29d76da05cf","","BiomedicalConceptProperty_45"
"LBTESTCD","BiomedicalConceptProperty","LBTESTCD","True","True","39550b85-8d3e-4fec-b76b-ec017eaa56bc","","BiomedicalConceptProperty_46"
"LBORRES","BiomedicalConceptProperty","LBORRES","True","True","c05939e5-3911-4585-8306-73f10224889c","float","BiomedicalConceptProperty_47"
"LBORRESU","BiomedicalConceptProperty","LBORRESU","True","True","de28ff59-98a5-4a18-898a-edd8b1ae431a","","BiomedicalConceptProperty_48"
"LBSPEC","BiomedicalConceptProperty","LBSPEC","True","True","9e779218-8e0e-4d5d-b4d5-b27193b9a89d","","BiomedicalConceptProperty_49"
"LBFAST","BiomedicalConceptProperty","LBFAST","True","True","d4593def-f424-4cc8-bbec-5e32fc2785d0","","BiomedicalConceptProperty_50"
"LBTESTCD","BiomedicalConceptProperty","LBTESTCD","True","True","98c821dc-d85b-41b7-8319-033d9faa667d","","BiomedicalConceptProperty_51"
"LBORRES","BiomedicalConceptProperty","LBORRES","True","True","f05e731b-e709-450f-a298-40dca051f4ed","text","BiomedicalConceptProperty_52"
"LBSPEC","BiomedicalConceptProperty","LBSPEC","True","True","8c7c8814-ded4-4ddf-8792-3748605e38e8","","BiomedicalConceptProperty_53"
"LBFAST","BiomedicalConceptProperty","LBFAST","True","True","566c6076-80f1-45a8-80e7-c0cf1570d789","","BiomedicalConceptProperty_54"
"LBTESTCD","BiomedicalConceptProperty","LBTESTCD","True","True","4d0f688d-c04b-40fb-b0a7-3dc3c24627eb","","BiomedicalConceptProperty_55"
"LBORRES","BiomedicalConceptProperty","LBORRES","True","True","38012bc2-f325-4c5e-8573-29facfa50750","float","BiomedicalConceptProperty_56"
"LBORRESU","BiomedicalConceptProperty","LBORRESU","True","True","17973eca-9767-4b05-b7a3-930f01553f39","","BiomedicalConceptProperty_57"
"LBSPEC","BiomedicalConceptProperty","LBSPEC","True","True","a2771d5f-328d-4c59-a4bf-520761d3c8a7","","BiomedicalConceptProperty_58"
"LBFAST","BiomedicalConceptProperty","LBFAST","True","True","e94e481e-5c7b-4391-8248-550b0b6b4eb9","","BiomedicalConceptProperty_59"
"LBTESTCD","BiomedicalConceptProperty","LBTESTCD","True","True","b0169b9b-a0df-48e7-83b8-e9fbefa534ba","","BiomedicalConceptProperty_60"
"LBORRES","BiomedicalConceptProperty","LBORRES","True","True","9eba222a-2258-4789-a57d-685d79ab8601","float","BiomedicalConceptProperty_61"
"LBORRESU","BiomedicalConceptProperty","LBORRESU","True","True","ea41987a-c6f9-4cbc-9051-18593e7f7a51","","BiomedicalConceptProperty_62"
"LBSPEC","BiomedicalConceptProperty","LBSPEC","True","True","4365caba-b1ce-4277-9cbb-3a0400bb175b","","BiomedicalConceptProperty_63"
"LBFAST","BiomedicalConceptProperty","LBFAST","True","True","29c7be3c-9b6e-4b13-b5dd-57ead020a2be","","BiomedicalConceptProperty_64"
"LBTESTCD","BiomedicalConceptProperty","LBTESTCD","True","True","12bf73c1-0c9f-4bee-ad44-8dd89ae7b6d4","","BiomedicalConceptProperty_65"
"LBORRES","BiomedicalConceptProperty","LBORRES","True","True","04bfebf7-a591-4ee0-9145-e6d98d9689e7","float","BiomedicalConceptProperty_66"
"LBORRESU","BiomedicalConceptProperty","LBORRESU","True","True","db49dd18-2112-4e29-982e-93f72fbb2c7f","","BiomedicalConceptProperty_67"
"LBSPEC","BiomedicalConceptProperty","LBSPEC","True","True","e8f92447-8a19-46c0-aee2-0ee8b3880b92","","BiomedicalConceptProperty_68"
"LBFAST","BiomedicalConceptProperty","LBFAST","True","True","f7c16050-a70c-48ce-8e03-c6b9db2c0fef","","BiomedicalConceptProperty_69"
"LBTESTCD","BiomedicalConceptProperty","LBTESTCD","True","True","46eea098-07fc-4ae7-804b-1a80ac3100a7","","BiomedicalConceptProperty_70"
"LBORRES","BiomedicalConceptProperty","LBORRES","True","True","7e2a8cae-e14f-46d1-8277-3feca9167298","float","BiomedicalConceptProperty_71"
"LBORRESU","BiomedicalConceptProperty","LBORRESU","True","True","16cd9c82-993d-4ad7-949d-88bcde1bd4c1","","BiomedicalConceptProperty_72"
"LBSPEC","BiomedicalConceptProperty","LBSPEC","True","True","1fc89da0-a45f-4513-849d-eb7cdd84917d","","BiomedicalConceptProperty_73"
"LBFAST","BiomedicalConceptProperty","LBFAST","True","True","2a150a87-158b-4e6c-9f0e-584de40e052e","","BiomedicalConceptProperty_74"
"LBTESTCD","BiomedicalConceptProperty","LBTESTCD","True","True","0d99884c-e252-4d19-aafc-0f4e5fcbaea4","","BiomedicalConceptProperty_75"
"LBORRES","BiomedicalConceptProperty","LBORRES","True","True","e3467a16-7fe5-49b9-b83d-8d51832c3b11","float","BiomedicalConceptProperty_76"
"LBORRESU","BiomedicalConceptProperty","LBORRESU","True","True","0b61cf91-8973-4e13-a905-76547620de85","","BiomedicalConceptProperty_77"
"LBSPEC","BiomedicalConceptProperty","LBSPEC","True","True","82beb46a-6f2e-4a94-a09d-75be8db4cec9","","BiomedicalConceptProperty_78"
"LBFAST","BiomedicalConceptProperty","LBFAST","True","True","5e3e21ec-637d-41e0-a0c5-fad10be25912","","BiomedicalConceptProperty_79"
"VSTESTCD","BiomedicalConceptProperty","VSTESTCD","True","True","9d735753-5563-4777-b006-c66aaba670d9","","BiomedicalConceptProperty_80"
"VSORRES","BiomedicalConceptProperty","VSORRES","True","True","01493332-49bc-4ec6-880e-0ba6781bd609","integer","BiomedicalConceptProperty_81"
"VSORRESU","BiomedicalConceptProperty","VSORRESU","True","True","b1ee12a4-1e36-4f21-8be2-8f3259a4daee","","BiomedicalConceptProperty_82"
"VSPOS","BiomedicalConceptProperty","VSPOS","True","True","f4ebc837-51bc-45d0-a8b3-7d474e10601f","","BiomedicalConceptProperty_83"
"VSLOC","BiomedicalConceptProperty","VSLOC","True","True","6057fb07-c32b-4123-85b8-0ea631231d36","","BiomedicalConceptProperty_84"
"VSLAT","BiomedicalConceptProperty","VSLAT","True","True","95566e95-b45a-4d4d-a206-1384317171d1","","BiomedicalConceptProperty_85"
"VSTESTCD","BiomedicalConceptProperty","VSTESTCD","True","True","7b4ffdb4-0341-4606-b4cd-0f707aaac664","","BiomedicalConceptProperty_86"
"VSORRES","BiomedicalConceptProperty","VSORRES","True","True","9f274390-012a-4a1b-92f1-ea040a8e915d","integer","BiomedicalConceptProperty_87"
"VSORRESU","BiomedicalConceptProperty","VSORRESU","True","True","0620862d-b920-40c4-acdd-c9f0b5bce5f7","","BiomedicalConceptProperty_88"
"VSPOS","BiomedicalConceptProperty","VSPOS","True","True","c8af7bd1-547c-4c04-ab40-b24eaf468ce9","","BiomedicalConceptProperty_89"
"VSLOC","BiomedicalConceptProperty","VSLOC","True","True","9a0d6e78-5be6-41ae-b0ea-12b2ef6114d1","","BiomedicalConceptProperty_90"
"VSLAT","BiomedicalConceptProperty","VSLAT","True","True","d6a72040-1855-4bb0-be98-93134ced70be","","BiomedicalConceptProperty_91"
"VSTESTCD","BiomedicalConceptProperty","VSTESTCD","True","True","76b27848-a332-416d-adcc-7eee6739f75b","","BiomedicalConceptProperty_92"
"VSORRES","BiomedicalConceptProperty","VSORRES","True","True","587e2839-15be-4f07-b9d6-8b92c569cf0e","integer","BiomedicalConceptProperty_93"
"VSORRESU","BiomedicalConceptProperty","VSORRESU","True","True","e854dc11-f16a-4976-b297-6a4b93f0cec0","","BiomedicalConceptProperty_94"
"VSPOS","BiomedicalConceptProperty","VSPOS","True","True","d515a648-4528-4ba1-a3f0-6ad5dea63b93","","BiomedicalConceptProperty_95"
"VSLOC","BiomedicalConceptProperty","VSLOC","True","True","e1e0c293-cb24-4b79-88e1-aeb805283eb8","","BiomedicalConceptProperty_96"
"VSLAT","BiomedicalConceptProperty","VSLAT","True","True","cafcdda5-d93c-46a9-9a9e-07963141da28","","BiomedicalConceptProperty_97"
"VSTESTCD","BiomedicalConceptProperty","VSTESTCD","True","True","42195583-a5fc-4d2e-850f-a57aa26d6a5a","","BiomedicalConceptProperty_98"
"VSORRES","BiomedicalConceptProperty","VSORRES","True","True","40f126b5-9324-46ae-aa6c-366af238e052","integer","BiomedicalConceptProperty_99"
"VSORRESU","BiomedicalConceptProperty","VSORRESU","True","True","cc22dd0e-4655-4b09-8782-fde74347125a","","BiomedicalConceptProperty_100"
"VSPOS","BiomedicalConceptProperty","VSPOS","True","True","0cb62a84-120b-4086-ab5e-ba7e1e36287d","","BiomedicalConceptProperty_101"
"VSLOC","BiomedicalConceptProperty","VSLOC","True","True","4ca96c57-22d5-416a-968b-78f4495132a8","","BiomedicalConceptProperty_102"
"VSLAT","BiomedicalConceptProperty","VSLAT","True","True","e17af293-3cab-44b1-b0aa-ee438978b575","","BiomedicalConceptProperty_103"
"VSTESTCD","BiomedicalConceptProperty","VSTESTCD","True","True","fb05bb32-5d11-44d1-a1fe-5ba60484a6b6","","BiomedicalConceptProperty_104"
"VSORRES","BiomedicalConceptProperty","VSORRES","True","True","2d8a029a-ab7f-47a4-9ae8-3524ca2badd0","integer","BiomedicalConceptProperty_105"
"VSORRESU","BiomedicalConceptProperty","VSORRESU","True","True","0f111d1c-3632-4e24-b95c-c701f327567a","","BiomedicalConceptProperty_106"
"VSPOS","BiomedicalConceptProperty","VSPOS","True","True","ded9051f-6d62-46d4-bb29-e1e472678710","","BiomedicalConceptProperty_107"
"VSLOC","BiomedicalConceptProperty","VSLOC","True","True","f221bda3-6922-4ae8-b68f-ca70dee58043","","BiomedicalConceptProperty_108"
"VSLAT","BiomedicalConceptProperty","VSLAT","True","True","06abbdb2-0c2b-46e6-b6cb-f422fe2d6cd1","","BiomedicalConceptProperty_109"
"VSTESTCD","BiomedicalConceptProperty","VSTESTCD","True","True","98413704-ffdf-4be9-a4dc-4ebc2cbb509f","","BiomedicalConceptProperty_110"
"VSORRES","BiomedicalConceptProperty","VSORRES","True","True","547b3f72-49df-4855-a531-5c237e6b580f","integer","BiomedicalConceptProperty_111"
"VSORRESU","BiomedicalConceptProperty","VSORRESU","True","True","fdb431f3-08ed-4e4d-abe1-1255a882eacd","","BiomedicalConceptProperty_112"
"VSPOS","BiomedicalConceptProperty","VSPOS","True","True","84df21e4-13d5-4976-ace3-196abbc924b5","","BiomedicalConceptProperty_113"
"VSLOC","BiomedicalConceptProperty","VSLOC","True","True","efcf721d-3ff1-4a3d-bb72-5b1c8f64012e","","BiomedicalConceptProperty_114"
"VSLAT","BiomedicalConceptProperty","VSLAT","True","True","d1ad7ff9-354a-40d8-80ad-38a13d463a09","","BiomedicalConceptProperty_115"
