"datatype","label","instanceType","uuid:ID","id","isEnabled","isRequired","name"
"","VSORRESU","BiomedicalConceptProperty","74c2439e-afdb-43e5-ae03-3f554f3ebd02","BiomedicalConceptProperty_26","True","True","VSORRESU"
"","VSPOS","BiomedicalConceptProperty","d233cc38-e146-4f37-aa6e-536430251e11","BiomedicalConceptProperty_27","True","True","VSPOS"
"","VSLOC","BiomedicalConceptProperty","a2d1a6ea-3fe1-4480-a22f-98ee4c4809c3","BiomedicalConceptProperty_28","True","True","VSLOC"
"","VSLAT","BiomedicalConceptProperty","45fe51a7-b17f-475c-8cfe-8e8a62cfee1e","BiomedicalConceptProperty_29","True","True","VSLAT"
"","VSTESTCD","BiomedicalConceptProperty","fd5b1c6b-250c-455a-8d2b-a78af7787a99","BiomedicalConceptProperty_30","True","True","VSTESTCD"
"integer","VSORRES","BiomedicalConceptProperty","cdb82d08-b1eb-4774-8cc1-bd35c696ac97","BiomedicalConceptProperty_31","True","True","VSORRES"
"","VSORRESU","BiomedicalConceptProperty","8357d9ce-2ddc-4ea7-a7ce-15c015db8620","BiomedicalConceptProperty_32","True","True","VSORRESU"
"","VSPOS","BiomedicalConceptProperty","1a96d0f6-2c99-40c1-b178-cea9fd2ad7e0","BiomedicalConceptProperty_33","True","True","VSPOS"
"","VSLOC","BiomedicalConceptProperty","8e621502-76fa-4595-b00a-e37b220b6054","BiomedicalConceptProperty_34","True","True","VSLOC"
"","VSLAT","BiomedicalConceptProperty","94d15e2a-d73d-482f-a47a-7a9767bf332a","BiomedicalConceptProperty_35","True","True","VSLAT"
"","VSTESTCD","BiomedicalConceptProperty","57f135ce-69c9-434d-915b-c31bcd4c7c33","BiomedicalConceptProperty_36","True","True","VSTESTCD"
"float","VSORRES","BiomedicalConceptProperty","f4b6e5c5-2a44-43d8-93d7-be04dcc802d1","BiomedicalConceptProperty_37","True","True","VSORRES"
"","VSORRESU","BiomedicalConceptProperty","32b4d5af-f567-4f39-9873-2482ddbdbf50","BiomedicalConceptProperty_38","True","True","VSORRESU"
"","VSLOC","BiomedicalConceptProperty","929efb6a-260a-410a-88f7-b9366d49c099","BiomedicalConceptProperty_39","True","True","VSLOC"
"","VSTESTCD","BiomedicalConceptProperty","bd638c4d-2181-4f8e-aac0-b9dec6d55bc4","BiomedicalConceptProperty_40","True","True","VSTESTCD"
"float","VSORRES","BiomedicalConceptProperty","6928a3ce-d4a2-4ab6-8fc1-0d336621a0d3","BiomedicalConceptProperty_41","True","True","VSORRES"
"","VSORRESU","BiomedicalConceptProperty","4215fa0d-08c2-4dd6-bcb8-4b14977cb481","BiomedicalConceptProperty_42","True","True","VSORRESU"
"","VSTESTCD","BiomedicalConceptProperty","49c64d15-0e4f-4c77-aab2-ee7b9ee85264","BiomedicalConceptProperty_43","True","True","VSTESTCD"
"float","VSORRES","BiomedicalConceptProperty","b4ea7148-ac43-420f-a95a-e9bbc1ea5bfa","BiomedicalConceptProperty_44","True","True","VSORRES"
"","VSORRESU","BiomedicalConceptProperty","61f96d44-b384-4207-8c8f-824acc29554e","BiomedicalConceptProperty_45","True","True","VSORRESU"
"","LBTESTCD","BiomedicalConceptProperty","3b4dce9b-ab04-49a5-8eb4-d46ae0fb8d7f","BiomedicalConceptProperty_46","True","True","LBTESTCD"
"float","LBORRES","BiomedicalConceptProperty","038d3d64-5058-4a5c-8209-e206e6832cfb","BiomedicalConceptProperty_47","True","True","LBORRES"
"","LBORRESU","BiomedicalConceptProperty","bf89c5f8-4c1b-477e-bbc6-3f241ea1caf5","BiomedicalConceptProperty_48","True","True","LBORRESU"
"","LBSPEC","BiomedicalConceptProperty","64695d1c-6439-4bec-8dd8-a5b4eae1fc85","BiomedicalConceptProperty_49","True","True","LBSPEC"
"","LBFAST","BiomedicalConceptProperty","9601c831-01d3-4dd3-af7b-2287fdfc399d","BiomedicalConceptProperty_50","True","True","LBFAST"
"","LBTESTCD","BiomedicalConceptProperty","3de14301-6c08-4176-bdf7-b423937013c2","BiomedicalConceptProperty_51","True","True","LBTESTCD"
"text","LBORRES","BiomedicalConceptProperty","c6861ed4-08a2-4631-83e2-81b037d5b779","BiomedicalConceptProperty_52","True","True","LBORRES"
"","LBSPEC","BiomedicalConceptProperty","196f15af-eda3-4fe2-9c98-c8b436ef4d5b","BiomedicalConceptProperty_53","True","True","LBSPEC"
"","LBFAST","BiomedicalConceptProperty","77ebf830-3595-4e49-9c84-45f1acb3b089","BiomedicalConceptProperty_54","True","True","LBFAST"
"","LBTESTCD","BiomedicalConceptProperty","ff223214-85dd-4b65-911b-839c2c2685ff","BiomedicalConceptProperty_55","True","True","LBTESTCD"
"float","LBORRES","BiomedicalConceptProperty","2ffc3665-b488-4159-aad7-63605b20d049","BiomedicalConceptProperty_56","True","True","LBORRES"
"","LBORRESU","BiomedicalConceptProperty","7f76f52e-2647-4ffd-912d-ec506a85e190","BiomedicalConceptProperty_57","True","True","LBORRESU"
"","LBSPEC","BiomedicalConceptProperty","14a0823b-a292-4ddb-a304-c0f113be9d6e","BiomedicalConceptProperty_58","True","True","LBSPEC"
"","LBFAST","BiomedicalConceptProperty","8b1fd2e7-5965-4717-a695-31caa9ca7f90","BiomedicalConceptProperty_59","True","True","LBFAST"
"","LBTESTCD","BiomedicalConceptProperty","f51dbcc7-b550-4c53-b994-9365a95409a9","BiomedicalConceptProperty_60","True","True","LBTESTCD"
"float","LBORRES","BiomedicalConceptProperty","73fc1a59-e23f-4384-b4d7-313c9e9ad262","BiomedicalConceptProperty_61","True","True","LBORRES"
