"isRequired","uuid:ID","id","label","isEnabled","datatype","name","instanceType"
"True","992d211f-4b2d-405f-b585-08fac270975b","BiomedicalConceptProperty_130","VSORRESU","True","","VSORRESU","BiomedicalConceptProperty"
"True","2e79f75a-60b7-4537-a80c-c223907bcb6b","BiomedicalConceptProperty_131","LBTESTCD","True","","LBTESTCD","BiomedicalConceptProperty"
"True","6b8dee7f-69b4-4e34-8005-7480e4212deb","BiomedicalConceptProperty_132","LBORRES","True","float","LBORRES","BiomedicalConceptProperty"
"True","fe6f5222-b03b-4957-907c-800117f81e66","BiomedicalConceptProperty_133","LBORRESU","True","","LBORRESU","BiomedicalConceptProperty"
"True","532560da-bd85-43bc-b3f1-873d001a064c","BiomedicalConceptProperty_134","LBSPEC","True","","LBSPEC","BiomedicalConceptProperty"
"True","61cc5ba0-5e87-4109-beda-d4c18ac3dc4f","BiomedicalConceptProperty_135","LBFAST","True","","LBFAST","BiomedicalConceptProperty"
"True","3974f7af-f2db-42cc-898d-102ade3e7fc1","BiomedicalConceptProperty_136","LBTESTCD","True","","LBTESTCD","BiomedicalConceptProperty"
"True","cca4579f-5b1a-42e4-88bf-119388a103f7","BiomedicalConceptProperty_137","LBORRES","True","text","LBORRES","BiomedicalConceptProperty"
"True","e565f420-4dfc-4ab0-93fd-0becf26d9c0c","BiomedicalConceptProperty_138","LBSPEC","True","","LBSPEC","BiomedicalConceptProperty"
"True","4ef51d1a-c25c-41a1-a0d8-6d964c1fb4b3","BiomedicalConceptProperty_139","LBFAST","True","","LBFAST","BiomedicalConceptProperty"
"True","f65bd957-577c-4d6d-aa31-89af6ff9ee67","BiomedicalConceptProperty_140","LBTESTCD","True","","LBTESTCD","BiomedicalConceptProperty"
"True","e6685b48-ac12-4fc3-967a-267f6b7b3b4c","BiomedicalConceptProperty_141","LBORRES","True","float","LBORRES","BiomedicalConceptProperty"
"True","b2978416-e7ab-4a90-b615-e88095b4b0b6","BiomedicalConceptProperty_142","LBORRESU","True","","LBORRESU","BiomedicalConceptProperty"
"True","49ee97a5-101c-40c6-8b03-db65724a4ce8","BiomedicalConceptProperty_143","LBSPEC","True","","LBSPEC","BiomedicalConceptProperty"
"True","2643612f-e7ed-4eaa-bfc3-a13952812efa","BiomedicalConceptProperty_144","LBFAST","True","","LBFAST","BiomedicalConceptProperty"
"True","c82d5345-88a9-4c91-a652-25a302112284","BiomedicalConceptProperty_145","LBTESTCD","True","","LBTESTCD","BiomedicalConceptProperty"
"True","dc9f159e-4e1e-42ba-a029-88742d9975fb","BiomedicalConceptProperty_146","LBORRES","True","float","LBORRES","BiomedicalConceptProperty"
"True","4c02c20f-5b2c-458d-9e30-3a1e8f0836b4","BiomedicalConceptProperty_147","LBORRESU","True","","LBORRESU","BiomedicalConceptProperty"
"True","fd927dfc-58a8-464b-9543-cc1423186e93","BiomedicalConceptProperty_148","LBSPEC","True","","LBSPEC","BiomedicalConceptProperty"
"True","b7a79639-3e64-4c22-bfd7-3b83115a9bf7","BiomedicalConceptProperty_149","LBFAST","True","","LBFAST","BiomedicalConceptProperty"
"True","25f99bb5-7264-4b21-8f40-899b05f61bae","BiomedicalConceptProperty_150","LBTESTCD","True","","LBTESTCD","BiomedicalConceptProperty"
"True","60fb0be7-10c0-415d-ae23-da9e2c68a844","BiomedicalConceptProperty_151","LBORRES","True","float","LBORRES","BiomedicalConceptProperty"
"True","49d0af57-33cc-421b-bf2d-f9bbef1744d1","BiomedicalConceptProperty_152","LBORRESU","True","","LBORRESU","BiomedicalConceptProperty"
"True","7c214bc8-1aa2-4362-8c13-0d67c54e0ea9","BiomedicalConceptProperty_153","LBSPEC","True","","LBSPEC","BiomedicalConceptProperty"
"True","80f8a726-307f-4750-8917-f1691af0eddb","BiomedicalConceptProperty_154","LBFAST","True","","LBFAST","BiomedicalConceptProperty"
"True","efd8768d-c205-427e-8bf1-3f85515a2dc2","BiomedicalConceptProperty_155","LBTESTCD","True","","LBTESTCD","BiomedicalConceptProperty"
"True","ed36acb5-bd55-41f3-a4ed-7555f1866e69","BiomedicalConceptProperty_156","LBORRES","True","float","LBORRES","BiomedicalConceptProperty"
"True","aae19074-eb7a-44eb-a791-e6ace7aebfca","BiomedicalConceptProperty_157","LBORRESU","True","","LBORRESU","BiomedicalConceptProperty"
"True","784bd2c9-7475-4464-8e2f-923a8e30dac1","BiomedicalConceptProperty_158","LBSPEC","True","","LBSPEC","BiomedicalConceptProperty"
"True","58f4eb6f-1237-45a1-a36e-3eb5fc42a69d","BiomedicalConceptProperty_159","LBFAST","True","","LBFAST","BiomedicalConceptProperty"
"True","aefd9c76-759f-4b1d-921f-c952b8b38938","BiomedicalConceptProperty_160","LBTESTCD","True","","LBTESTCD","BiomedicalConceptProperty"
"True","c2589b6f-3788-4173-885e-f5cf3e4b9ffd","BiomedicalConceptProperty_161","LBORRES","True","float","LBORRES","BiomedicalConceptProperty"
"True","0b5d594b-6bb0-4fa6-9712-33d3e9bf3296","BiomedicalConceptProperty_162","LBORRESU","True","","LBORRESU","BiomedicalConceptProperty"
"True","d7d75783-8229-4b83-9d20-8403c6ce97d7","BiomedicalConceptProperty_163","LBSPEC","True","","LBSPEC","BiomedicalConceptProperty"
"True","8f77df89-ed99-45e4-b28a-00e7d9f60385","BiomedicalConceptProperty_164","LBFAST","True","","LBFAST","BiomedicalConceptProperty"
"True","89605dfe-8498-44e9-bc96-c82896d6ae77","BiomedicalConceptProperty_165","LBTESTCD","True","","LBTESTCD","BiomedicalConceptProperty"
"True","63d5ec0d-a0c0-4ae6-a024-0a243a93f6fe","BiomedicalConceptProperty_166","LBORRES","True","float","LBORRES","BiomedicalConceptProperty"
"True","554e84da-c699-40fd-8a97-2aad380469df","BiomedicalConceptProperty_167","LBORRESU","True","","LBORRESU","BiomedicalConceptProperty"
"True","ae1a373b-5e31-4339-88bb-0a062d17d34e","BiomedicalConceptProperty_168","LBSPEC","True","","LBSPEC","BiomedicalConceptProperty"
"True","37f4b823-cd66-4703-8039-cc7367a0fa66","BiomedicalConceptProperty_169","LBFAST","True","","LBFAST","BiomedicalConceptProperty"
"True","f6996a3e-e4c8-4b95-9524-0952a5d7fcff","BiomedicalConceptProperty_1","AETERM","True","text","AETERM","BiomedicalConceptProperty"
"True","78c36303-72fe-4bdb-9715-1159c211692d","BiomedicalConceptProperty_2","AEDECOD","True","text","AEDECOD","BiomedicalConceptProperty"
"True","bc1285d3-3670-4721-8715-16ebfa8126dd","BiomedicalConceptProperty_3","AEPRESP","True","text","AEPRESP","BiomedicalConceptProperty"
"True","1d3611f5-44e2-497b-ab33-5ef7e763c47f","BiomedicalConceptProperty_4","AELOC","True","text","AELOC","BiomedicalConceptProperty"
"True","9de21593-c5e5-45be-a28f-8c8b605b9afb","BiomedicalConceptProperty_5","AESEV","True","text","AESEV","BiomedicalConceptProperty"
"True","1879deb7-c158-4c6b-b08a-9601ddcd857e","BiomedicalConceptProperty_6","AESER","True","text","AESER","BiomedicalConceptProperty"
"True","679e16dd-bd31-41f3-9bf4-2a20130b9488","BiomedicalConceptProperty_7","AEACN","True","text","AEACN","BiomedicalConceptProperty"
"True","01c506d8-060f-4e84-b542-7d92b1f9810a","BiomedicalConceptProperty_8","AEACNOTH","True","text","AEACNOTH","BiomedicalConceptProperty"
"True","e291900e-80da-466d-b3d2-c8f9b5474caf","BiomedicalConceptProperty_9","AEREL","True","text","AEREL","BiomedicalConceptProperty"
"True","8971b6b7-0e8b-42ec-8ca4-21f3c48dac89","BiomedicalConceptProperty_10","AERELNST","True","text","AERELNST","BiomedicalConceptProperty"
"True","8f0e5427-fc95-4da6-85f1-1b93594d27b5","BiomedicalConceptProperty_11","AEPATT","True","text","AEPATT","BiomedicalConceptProperty"
"True","2b14f4dd-16d0-4ef3-a82e-10e67e7ac323","BiomedicalConceptProperty_12","AEOUT","True","text","AEOUT","BiomedicalConceptProperty"
"True","c768e711-a3a6-4321-9d69-3ec9107360fb","BiomedicalConceptProperty_13","AESCAN","True","text","AESCAN","BiomedicalConceptProperty"
"True","bb3cc33d-13a7-4d76-b3fe-319e8e5f8f69","BiomedicalConceptProperty_14","AESCONG","True","text","AESCONG","BiomedicalConceptProperty"
"True","54a806af-b4b4-488b-a891-a4cd21d89ee3","BiomedicalConceptProperty_15","AESDISAB","True","text","AESDISAB","BiomedicalConceptProperty"
"True","af58a76b-e0b3-4696-8561-d3638ebc30b0","BiomedicalConceptProperty_16","AESDTH","True","text","AESDTH","BiomedicalConceptProperty"
"True","72acd61a-a61b-43e7-a9c2-d1ae12042a76","BiomedicalConceptProperty_17","AESHOSP","True","text","AESHOSP","BiomedicalConceptProperty"
"True","97759596-f3cd-4ca3-924f-fa0caa258348","BiomedicalConceptProperty_18","AESLIFE","True","text","AESLIFE","BiomedicalConceptProperty"
"True","9786c4e5-0b99-46b6-b3d1-c1e88f84c15c","BiomedicalConceptProperty_19","AESOD","True","text","AESOD","BiomedicalConceptProperty"
"True","d5a051fd-159f-414e-bc1c-9c1653d4e9d1","BiomedicalConceptProperty_20","AESMIE","True","text","AESMIE","BiomedicalConceptProperty"
"True","e8ef0d99-1f41-4b27-ab39-3a4419dc5998","BiomedicalConceptProperty_21","AECONTRT","True","text","AECONTRT","BiomedicalConceptProperty"
"True","4b9dc81e-0c38-4efc-af48-5b7220192844","BiomedicalConceptProperty_22","AESTDTC","True","datetime","AESTDTC","BiomedicalConceptProperty"
"True","ef56f43f-49c7-4cf0-bbdc-93b723a4ed29","BiomedicalConceptProperty_23","AEENDTC","True","datetime","AEENDTC","BiomedicalConceptProperty"
"True","95408f28-9bd1-464f-9bdb-a1067765d075","BiomedicalConceptProperty_24","VSTESTCD","True","","VSTESTCD","BiomedicalConceptProperty"
"True","b4be6dc3-44ff-4241-a7bd-6d30351f0c6e","BiomedicalConceptProperty_25","VSORRES","True","integer","VSORRES","BiomedicalConceptProperty"
"True","6d917463-c25e-4e88-8205-ba96faf0d569","BiomedicalConceptProperty_26","VSORRESU","True","","VSORRESU","BiomedicalConceptProperty"
"True","81e6c5a7-7dcf-4725-afc3-e6d1da842e33","BiomedicalConceptProperty_27","VSPOS","True","","VSPOS","BiomedicalConceptProperty"
"True","01628336-f6a1-4038-b5a5-0e16c27c1a59","BiomedicalConceptProperty_28","VSLOC","True","","VSLOC","BiomedicalConceptProperty"
"True","d4bf989f-9c24-4cc2-b480-300437a70633","BiomedicalConceptProperty_29","VSLAT","True","","VSLAT","BiomedicalConceptProperty"
"True","33a9b015-eeb6-4167-88f5-a4564128f213","BiomedicalConceptProperty_30","VSTESTCD","True","","VSTESTCD","BiomedicalConceptProperty"
"True","e68e0a3b-1cc5-4ff7-ad8b-a501c7ca35a8","BiomedicalConceptProperty_31","VSORRES","True","integer","VSORRES","BiomedicalConceptProperty"
"True","bbb185c3-6428-4684-9b63-9889700587fb","BiomedicalConceptProperty_32","VSORRESU","True","","VSORRESU","BiomedicalConceptProperty"
"True","fd285a9e-b53d-4db3-81a2-433d06c03f9c","BiomedicalConceptProperty_33","VSPOS","True","","VSPOS","BiomedicalConceptProperty"
"True","fb498657-91e9-42f5-9b7f-e62a03cf248b","BiomedicalConceptProperty_34","VSLOC","True","","VSLOC","BiomedicalConceptProperty"
"True","7618bfe1-51e3-41ab-89be-b68453f859d6","BiomedicalConceptProperty_35","VSLAT","True","","VSLAT","BiomedicalConceptProperty"
"True","0dcb45dc-b250-4868-8076-3c28bcc0d908","BiomedicalConceptProperty_36","VSTESTCD","True","","VSTESTCD","BiomedicalConceptProperty"
"True","3620fffc-4b74-447e-873f-14035d866d50","BiomedicalConceptProperty_37","VSORRES","True","float","VSORRES","BiomedicalConceptProperty"
"True","76925044-3e16-41d3-979c-006fe4d766c6","BiomedicalConceptProperty_38","VSORRESU","True","","VSORRESU","BiomedicalConceptProperty"
"True","544e3809-1972-4ae1-a62e-a654c9cfb5a2","BiomedicalConceptProperty_39","VSLOC","True","","VSLOC","BiomedicalConceptProperty"
"True","384edeb7-4182-4728-99b4-4386b115e37f","BiomedicalConceptProperty_40","VSTESTCD","True","","VSTESTCD","BiomedicalConceptProperty"
"True","7885486f-7efe-4dbe-836c-be728464c21a","BiomedicalConceptProperty_41","VSORRES","True","float","VSORRES","BiomedicalConceptProperty"
"True","3947f049-9823-4470-9c8f-234443dcb7fc","BiomedicalConceptProperty_42","VSORRESU","True","","VSORRESU","BiomedicalConceptProperty"
"True","eb1a08bb-9cc4-40be-aad3-6c0c193da301","BiomedicalConceptProperty_43","VSTESTCD","True","","VSTESTCD","BiomedicalConceptProperty"
"True","068ce672-7143-4df3-8502-f1c22eb04a1e","BiomedicalConceptProperty_44","VSORRES","True","float","VSORRES","BiomedicalConceptProperty"
"True","16cb70c5-e148-467e-9ca9-6a59438939de","BiomedicalConceptProperty_45","VSORRESU","True","","VSORRESU","BiomedicalConceptProperty"
"True","50c4033c-b5d1-40e9-9e84-fa689f0dd476","BiomedicalConceptProperty_46","LBTESTCD","True","","LBTESTCD","BiomedicalConceptProperty"
"True","4cb73b3d-d6ab-4d18-b077-60b0a3a8bd0a","BiomedicalConceptProperty_47","LBORRES","True","float","LBORRES","BiomedicalConceptProperty"
"True","e10fd100-2a22-4bd4-9ce3-ca090b978ccd","BiomedicalConceptProperty_48","LBORRESU","True","","LBORRESU","BiomedicalConceptProperty"
"True","03b8d6ca-de92-4e55-9409-f526699e6bb7","BiomedicalConceptProperty_49","LBSPEC","True","","LBSPEC","BiomedicalConceptProperty"
"True","28fb6fd0-b417-469d-84e1-da44dc470fa2","BiomedicalConceptProperty_50","LBFAST","True","","LBFAST","BiomedicalConceptProperty"
"True","461776c3-75b9-4307-924a-a7677035509d","BiomedicalConceptProperty_51","LBTESTCD","True","","LBTESTCD","BiomedicalConceptProperty"
"True","f68d11e7-a8c1-4dc5-8f25-6001480d3d6a","BiomedicalConceptProperty_52","LBORRES","True","text","LBORRES","BiomedicalConceptProperty"
"True","313816ad-8930-43f6-b0df-4694646ed132","BiomedicalConceptProperty_53","LBSPEC","True","","LBSPEC","BiomedicalConceptProperty"
"True","70055d4d-5b52-4bd1-b0c4-78d0ae99d3f9","BiomedicalConceptProperty_54","LBFAST","True","","LBFAST","BiomedicalConceptProperty"
"True","d52e2b18-2a54-4cd6-94b1-8855eb09a44d","BiomedicalConceptProperty_55","LBTESTCD","True","","LBTESTCD","BiomedicalConceptProperty"
"True","0ad8fe40-c2f4-43ce-bd34-7578de9d2d66","BiomedicalConceptProperty_56","LBORRES","True","float","LBORRES","BiomedicalConceptProperty"
"True","2e1a16df-ed99-44b4-9a23-c4f51da74c89","BiomedicalConceptProperty_57","LBORRESU","True","","LBORRESU","BiomedicalConceptProperty"
"True","0104655c-e4eb-46b6-9e67-4cb4fa886870","BiomedicalConceptProperty_58","LBSPEC","True","","LBSPEC","BiomedicalConceptProperty"
"True","fe7c6c2c-4849-4e9f-ab07-c574f9190d64","BiomedicalConceptProperty_59","LBFAST","True","","LBFAST","BiomedicalConceptProperty"
"True","50e23a3f-0354-4889-a381-167f28ad4f3e","BiomedicalConceptProperty_60","LBTESTCD","True","","LBTESTCD","BiomedicalConceptProperty"
"True","57b02d68-282c-45e4-98d6-fb606fa43370","BiomedicalConceptProperty_61","LBORRES","True","float","LBORRES","BiomedicalConceptProperty"
"True","508dd1bc-87f2-4dd1-93b5-28e48a59dd48","BiomedicalConceptProperty_62","LBORRESU","True","","LBORRESU","BiomedicalConceptProperty"
"True","21ff8bc8-dc1f-430c-9d35-09f887ad96e8","BiomedicalConceptProperty_63","LBSPEC","True","","LBSPEC","BiomedicalConceptProperty"
"True","5b65cd13-db16-4a2c-a16e-e63b37851d8a","BiomedicalConceptProperty_64","LBFAST","True","","LBFAST","BiomedicalConceptProperty"
"True","b7dbf2ee-67c5-4a6e-8621-4c53739c4ee1","BiomedicalConceptProperty_65","LBTESTCD","True","","LBTESTCD","BiomedicalConceptProperty"
"True","0ca8396d-fe57-4d9b-9468-dbdd1c3c8ff3","BiomedicalConceptProperty_66","LBORRES","True","float","LBORRES","BiomedicalConceptProperty"
"True","e0135aa9-7b35-4252-9004-3f6cef62e7fc","BiomedicalConceptProperty_67","LBORRESU","True","","LBORRESU","BiomedicalConceptProperty"
"True","18206dd3-d2ec-43b4-9fc6-4a6a157010ad","BiomedicalConceptProperty_68","LBSPEC","True","","LBSPEC","BiomedicalConceptProperty"
"True","48ee5618-ca5d-4dff-b013-43e89622cce9","BiomedicalConceptProperty_69","LBFAST","True","","LBFAST","BiomedicalConceptProperty"
"True","027886dd-8f80-4a08-8e20-2a92837d66df","BiomedicalConceptProperty_70","LBTESTCD","True","","LBTESTCD","BiomedicalConceptProperty"
"True","7519dd28-86bb-41d7-87ae-b7c9e1cc30ba","BiomedicalConceptProperty_71","LBORRES","True","float","LBORRES","BiomedicalConceptProperty"
"True","d0c4c202-6ff7-4906-997a-4f375c85f15d","BiomedicalConceptProperty_72","LBORRESU","True","","LBORRESU","BiomedicalConceptProperty"
"True","da855e32-ab90-4fee-b9e3-6f914478ec40","BiomedicalConceptProperty_73","LBSPEC","True","","LBSPEC","BiomedicalConceptProperty"
"True","0a01f097-08af-4213-adda-634b84d76f44","BiomedicalConceptProperty_74","LBFAST","True","","LBFAST","BiomedicalConceptProperty"
"True","7c317f74-1f44-4a38-922d-725d90170225","BiomedicalConceptProperty_75","LBTESTCD","True","","LBTESTCD","BiomedicalConceptProperty"
"True","3aa64216-b9ca-4c3d-afab-1f70a335f479","BiomedicalConceptProperty_76","LBORRES","True","float","LBORRES","BiomedicalConceptProperty"
"True","f7848c92-0dfb-4860-bb60-51bd63cfa7c2","BiomedicalConceptProperty_77","LBORRESU","True","","LBORRESU","BiomedicalConceptProperty"
"True","fbfc899e-09eb-4443-8719-2c442fd0e705","BiomedicalConceptProperty_78","LBSPEC","True","","LBSPEC","BiomedicalConceptProperty"
"True","11654393-de11-4941-91b7-8206cc4dd2f7","BiomedicalConceptProperty_79","LBFAST","True","","LBFAST","BiomedicalConceptProperty"
"True","63cb75c5-9fbc-4fa4-9ae0-3dc2dfcabe29","BiomedicalConceptProperty_80","VSTESTCD","True","","VSTESTCD","BiomedicalConceptProperty"
"True","8a4c238d-099c-44d9-b284-e2d0402e5b37","BiomedicalConceptProperty_81","VSORRES","True","integer","VSORRES","BiomedicalConceptProperty"
"True","a77b7c4c-1370-44bc-bea9-db19d2ae09a6","BiomedicalConceptProperty_82","VSORRESU","True","","VSORRESU","BiomedicalConceptProperty"
"True","4e1f48a3-b036-4893-a58f-4c5af5186a6e","BiomedicalConceptProperty_83","VSPOS","True","","VSPOS","BiomedicalConceptProperty"
"True","d024dd71-73e2-44c5-a152-4d21fe85be5e","BiomedicalConceptProperty_84","VSLOC","True","","VSLOC","BiomedicalConceptProperty"
"True","d0876e1b-6aae-43dc-8193-53400ecb0582","BiomedicalConceptProperty_85","VSLAT","True","","VSLAT","BiomedicalConceptProperty"
"True","855cb2a4-ad7d-4b8f-ab23-ac61220f2411","BiomedicalConceptProperty_86","VSTESTCD","True","","VSTESTCD","BiomedicalConceptProperty"
"True","e5e56289-afeb-4031-a230-e5bb42207392","BiomedicalConceptProperty_87","VSORRES","True","integer","VSORRES","BiomedicalConceptProperty"
"True","7fb8443c-e53f-4270-9483-0a5fe9b7291d","BiomedicalConceptProperty_88","VSORRESU","True","","VSORRESU","BiomedicalConceptProperty"
"True","957ac497-d820-4799-93cf-101c8e31f1af","BiomedicalConceptProperty_89","VSPOS","True","","VSPOS","BiomedicalConceptProperty"
"True","bd7315b5-faaa-43a9-a170-9bd7ed380515","BiomedicalConceptProperty_90","VSLOC","True","","VSLOC","BiomedicalConceptProperty"
"True","adc9f190-f94c-4676-8c0d-69f56eea2d29","BiomedicalConceptProperty_91","VSLAT","True","","VSLAT","BiomedicalConceptProperty"
"True","34f59337-e963-42f4-9d97-f7095b6fa8b0","BiomedicalConceptProperty_92","VSTESTCD","True","","VSTESTCD","BiomedicalConceptProperty"
"True","b5665505-e63a-43dd-a4af-88e0d9ef7b82","BiomedicalConceptProperty_93","VSORRES","True","integer","VSORRES","BiomedicalConceptProperty"
"True","58a54b1d-8c90-40dd-8d61-a74ed72947c3","BiomedicalConceptProperty_94","VSORRESU","True","","VSORRESU","BiomedicalConceptProperty"
"True","a0921101-7917-4e29-96dc-fdefce0bb461","BiomedicalConceptProperty_95","VSPOS","True","","VSPOS","BiomedicalConceptProperty"
"True","f4253178-3fcd-48be-b00c-728acdebad92","BiomedicalConceptProperty_96","VSLOC","True","","VSLOC","BiomedicalConceptProperty"
"True","6285a521-8fde-4263-8f74-1d12d90b5935","BiomedicalConceptProperty_97","VSLAT","True","","VSLAT","BiomedicalConceptProperty"
"True","df740051-b8eb-4591-b44e-9d1222e929e2","BiomedicalConceptProperty_98","VSTESTCD","True","","VSTESTCD","BiomedicalConceptProperty"
"True","410d4a93-8eba-45c6-aa85-502ac9dfe892","BiomedicalConceptProperty_99","VSORRES","True","integer","VSORRES","BiomedicalConceptProperty"
"True","940e0736-e8fa-4c53-9de1-87c4e7e59d21","BiomedicalConceptProperty_100","VSORRESU","True","","VSORRESU","BiomedicalConceptProperty"
"True","96b321e4-c435-4c3a-a6f6-aa7106c4ae7b","BiomedicalConceptProperty_101","VSPOS","True","","VSPOS","BiomedicalConceptProperty"
"True","54387fc3-b532-449f-bd34-e323b4e20853","BiomedicalConceptProperty_102","VSLOC","True","","VSLOC","BiomedicalConceptProperty"
"True","13a6116f-12ef-4d2d-af3e-9100481ddb3b","BiomedicalConceptProperty_103","VSLAT","True","","VSLAT","BiomedicalConceptProperty"
"True","b386fcbd-19c4-4597-95be-9507746d0398","BiomedicalConceptProperty_104","VSTESTCD","True","","VSTESTCD","BiomedicalConceptProperty"
"True","0a2dd0c0-dae7-45fe-9eed-4e5119b59593","BiomedicalConceptProperty_105","VSORRES","True","integer","VSORRES","BiomedicalConceptProperty"
"True","38f6cc7e-8148-490e-a88d-84985c395058","BiomedicalConceptProperty_106","VSORRESU","True","","VSORRESU","BiomedicalConceptProperty"
"True","cd3aaeca-1184-4552-bb68-9a2694334d54","BiomedicalConceptProperty_107","VSPOS","True","","VSPOS","BiomedicalConceptProperty"
"True","bf98f32a-1c90-478f-8b75-f50e2bfb68a4","BiomedicalConceptProperty_108","VSLOC","True","","VSLOC","BiomedicalConceptProperty"
"True","5d97d2b4-ebea-4ebe-8a53-ed931abe4b2c","BiomedicalConceptProperty_109","VSLAT","True","","VSLAT","BiomedicalConceptProperty"
"True","89f7b1e1-7c85-42c4-ab74-865b39202c33","BiomedicalConceptProperty_110","VSTESTCD","True","","VSTESTCD","BiomedicalConceptProperty"
"True","6f0a9f59-73ad-4021-a82b-f792021034c0","BiomedicalConceptProperty_111","VSORRES","True","integer","VSORRES","BiomedicalConceptProperty"
"True","401bb708-4616-462e-b89d-0e4dceb4fc60","BiomedicalConceptProperty_112","VSORRESU","True","","VSORRESU","BiomedicalConceptProperty"
"True","3762d70b-2187-41e0-ad0c-d347b5a27f77","BiomedicalConceptProperty_113","VSPOS","True","","VSPOS","BiomedicalConceptProperty"
"True","ba722cc2-5f29-4f1d-b499-b5641092e8f5","BiomedicalConceptProperty_114","VSLOC","True","","VSLOC","BiomedicalConceptProperty"
"True","6a90492e-0d17-490a-9c0a-9d6d5b1d5b1b","BiomedicalConceptProperty_115","VSLAT","True","","VSLAT","BiomedicalConceptProperty"
